#Scan#	Adduct	CAS_Number	Charge	Compound_Name	Compound_Source	Data_Collector	ExactMass	FileScanUniqueID	INCHI	INCHI_AUX	Instrument	IonMode	Ion_Source	LibMZ	LibraryName	LibraryQualityString	Library_Class	MQScore	MZErrorPPM	MassDiff	NumberHits	Organism	PI	Precursor_MZ	Pubmed_ID	RT_Query	SharedPeaks	Smiles	SpecCharge	SpecMZ	SpectrumFile	SpectrumID	TIC_Query	UpdateWorkflowName	tags	internalFilename
1650	M+H	 	      58-08-2	1	Caffeine	Isolated	 	194.08	spectra/specs_ms.mgf1650	1S/C8H10N4O2/c1-10-4-9-6-5(10)7(13)12(3)8(14)11(6)2/h4H,1-3H3	 	Orbitrap	Positive	LC-ESI	195.087	lib-00012.mgf	Bronze	3	0.979646	4.0672	0.000793457	1	GNPS-LIBRARY	Najla Moufarreg	195.087	2519	0	8	CN1C=NC2=C1C(=O)N(C(=O)N2C)C	1	195.088	spectra/specs_ms.mgf	CCMSLIB00003142435	5.43528e+06	UPDATE-SINGLE-ANNOTATED-BRONZE	195.088
966	2M+H	2387237	1	1,3-Dicyclohexylurea	Isolated	NIST	0.0	spectra/specs_ms.mgf966	InChI=1S/C13H24N2O/c16-13(14-11-7-3-1-4-8-11)15-12-9-5-2-6-10-12/h11-12H,1-10H2,(H2,14,15,16)	N/A	HCD	Positive	ESI	449.385	lib-00034.mgf	Bronze	3	0.99852	2.03729	0.000915527	1	NIST17	NIST	449.385	N/A	0	4	C1CCC(CC1)NC(=O)NC2CCCCC2	1	449.384	specs_ms.mgf	CCMSLIB00003265582	1.51701e+08	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.mgf
1006	M+H	52691620	1	Spectral Match to 1-Hexadecyl-sn-glycero-3-phosphocholine from NIST14	Isolated	Data deposited by daniel	0.0	spectra/specs_ms.mgf1006	N/A	N/A	QqIT	Positive	ESI	482.36	lib-00030.mgf	Bronze	3	0.997789	2.72049	0.00131226	1	GNPS-NIST14-MATCHES	Data from Pieter Dorrestein	482.36	N/A	0	17	N/A	1	482.361	specs_ms.mgf	CCMSLIB00003134553	1.02476e+08	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.mgf
35	M+H	4792158	1	Pentaethylene glycol	Isolated	NIST	0.0	spectra/specs_ms.mgf35	InChI=1S/C10H22O6/c11-1-3-13-5-7-15-9-10-16-8-6-14-4-2-12/h11-12H,1-10H2	N/A	HCD	Positive	ESI	239.149	lib-00034.mgf	Bronze	3	0.992132	2.04175	0.000488281	1	NIST17	NIST	239.149	N/A	0	8	C(COCCOCCOCCOCCO)O	1	239.148	specs_ms.mgf	CCMSLIB00003440922	2.49254e+07	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.mgf
5042	M+H	63912	1	L-Phenylalanine	Isolated	NIST	0.0	spectra/specs_ms.mgf5042	InChI=1S/C9H11NO2/c10-8(9(11)12)6-7-4-2-1-3-5-7/h1-5,8H,6,10H2,(H,11,12)/t8-/m0/s1	N/A	HCD	Positive	ESI	166.086	lib-00034.mgf	Bronze	3	0.992028	1.19434	0.000198364	1	NIST17	NIST	166.086	N/A	0	9	C1=CC=C(C=C1)CC(C(=O)[O-])[NH3+]	1	166.087	specs_ms.mgf	CCMSLIB00003364921	1.96995e+07	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.mgf
1538	M+H	122-39-4	0	Diphenylamine	Isolated	N/A	0.0	spectra/specs_ms.mgf1538	InChI=1S/C12H11N/c1-3-7-11(8-4-1)13-12-9-5-2-6-10-12/h1-10,13H	N/A	LC-ESI-QTOF	Positive-10eV	LC-ESI	170.096	lib-00031.mgf	Bronze	3	0.991584	1.3456	0.000228882	1	METLIN	Metlin	170.096	N/A	0	4	N/A	1	170.097	specs_ms.mgf	CCMSLIB00000506084	2.34847e+06	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.mgf
20680	[M+H]+	97003-31-1	1	MassbankEU:SM880301 Ethyl-4-dimethylaminobenzoate|Ethyl 4-dimethylaminobenzoate|Ethyl 4-(dimethylamino)benzoate	Isolated	Massbank	0.0	spectra/specs_ms.mgf20680	1S/C11H15NO2/c1-4-14-11(13)9-5-7-10(8-6-9)12(2)3/h5-8H,4H2,1-3H3	N/A	LC-ESI-QFT	Positive	ESI	194.118	lib-00011.mgf	Bronze	3	0.99129	1.49351	0.000289917	1	MASSBANKEU	Massbank EU	194.118	N/A	0	13	CCOC(=O)C1=CC=C(C=C1)N(C)C	1	194.118	specs_ms.mgf	CCMSLIB00000842053	1.79644e+08	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.mgf
1039	[M+H]+	97003-31-1	1	MassbankEU:SM880301 Ethyl-4-dimethylaminobenzoate|Ethyl 4-dimethylaminobenzoate|Ethyl 4-(dimethylamino)benzoate	Isolated	Massbank	0.0	spectra/specs_ms.mgf1039	1S/C11H15NO2/c1-4-14-11(13)9-5-7-10(8-6-9)12(2)3/h5-8H,4H2,1-3H3	N/A	LC-ESI-QFT	Positive	ESI	194.118	lib-00011.mgf	Bronze	3	0.990883	1.02187	0.000198364	1	MASSBANKEU	Massbank EU	194.118	N/A	0	13	CCOC(=O)C1=CC=C(C=C1)N(C)C	1	194.118	specs_ms.mgf	CCMSLIB00000842053	1.34414e+08	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.mgf
6089	[M+H]+	2634-33-5	1	Massbank:EA030104 Benzisothiazolone (BIT)|1,2-Benzisothiazol-3(2H)-one|1,2-benzothiazol-3-one	Isolated	Massbank	0.0	spectra/specs_ms.mgf6089	1S/C7H5NOS/c9-7-5-3-1-2-4-6(5)10-8-7/h1-4H,(H,8,9)	N/A	LC-ESI-ITFT	Positive	ESI	152.016	lib-00003.mgf	Bronze	3	0.989904	3.91467	0.000595093	1	MASSBANK	Putative Massbank Match	152.016	N/A	0	4	c12c(cccc2)s[nH]c1=O	1	152.017	specs_ms.mgf	CCMSLIB00000208249	3.10716e+07	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.mgf
2105	M+H	102829	1	Tributylamine	Isolated	NIST	0.0	spectra/specs_ms.mgf2105	InChI=1S/C12H27N/c1-4-7-10-13(11-8-5-2)12-9-6-3/h4-12H2,1-3H3	N/A	HCD	Positive	ESI	186.222	lib-00034.mgf	Bronze	3	0.989678	1.06521	0.000198364	1	NIST17	NIST	186.222	N/A	0	4	CCCCN(CCCC)CCCC	1	186.222	specs_ms.mgf	CCMSLIB00003265531	2.06201e+07	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.mgf
3316	M+H	3303319	1	Spectral Match to Leu-Leu from NIST14	Isolated	Data deposited by daniel	0.0	spectra/specs_ms.mgf3316	N/A	N/A	QqQ	Positive	ESI	245.186	lib-00030.mgf	Bronze	3	0.989619	0.809036	0.000198364	1	GNPS-NIST14-MATCHES	Data from Pieter Dorrestein	245.186	N/A	0	9	N/A	1	245.186	specs_ms.mgf	CCMSLIB00003134648	9.21818e+06	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.mgf
